region,title,street,rooms,area,price,address
开发区,红星海,红星海珑筑,4室2厅,170,12500,红星海红星海珑筑
开发区,红星海,红星海二期视界,4室2厅,227,15000,红星海红星海二期视界
开发区,红星海,红星海一期艺墅,3室2厅,173,8000,红星海红星海一期艺墅
开发区,红星海,红星海一期城市别馆,2室1厅,112,7000,红星海红星海一期城市别馆
开发区,红星海,红星海五期青屿蓝,3室1厅,153,4600,红星海红星海五期青屿蓝
开发区,红星海,红星海三期视界,3室1厅,140,7000,红星海红星海三期视界
开发区,红星海,红星海二期果岭墅,4室2厅,235,18000,红星海红星海二期果岭墅
开发区,红星海,红星海三期境界,2室1厅,81,3000,红星海红星海三期境界
开发区,红星海,红星海一期艺墅,2室1厅,104,5000,红星海红星海一期艺墅
开发区,红星海,红星海二期视界,4室1厅,143,6000,红星海红星海二期视界
开发区,红星海,红星海二期领墅,6室2厅,232,20000,红星海红星海二期领墅
开发区,红星海,红星海一期艺墅,3室1厅,143,10000,红星海红星海一期艺墅
开发区,红星海,红星海一期艺墅,6室2厅,280,5500,红星海红星海一期艺墅
开发区,红星海,红星海二期视界,3室2厅,145,5500,红星海红星海二期视界
开发区,红星海,红星海一期原墅,4室2厅,279,25000,红星海红星海一期原墅
开发区,红星海,红星海五期海麓,2室1厅,110,5000,红星海红星海五期海麓
开发区,红星海,红星海一期原墅,4室3厅,344,26000,红星海红星海一期原墅
开发区,红星海,红星海珑筑,4室2厅,168,9000,红星海红星海珑筑
开发区,红星海,红星海珑筑,4室1厅,170,8500,红星海红星海珑筑
开发区,红星海,红星海一期城市别馆,2室1厅,115,4000,红星海红星海一期城市别馆
开发区,红星海,红星海五期海麓,3室2厅,140,12000,红星海红星海五期海麓
开发区,红星海,红星海时光的岸,2室1厅,94,3000,红星海红星海时光的岸
开发区,红星海,红星海时光的岸,2室2厅,86,5000,红星海红星海时光的岸
开发区,红星海,红星海五期海麓,3室2厅,130,6000,红星海红星海五期海麓
开发区,红星海,红星海四期城市别馆二号,2室1厅,87,3000,红星海红星海四期城市别馆二号
开发区,红星海,红星海三期视界,2室2厅,110,5100,红星海红星海三期视界
开发区,红星海,红星海五期青屿蓝,2室1厅,90,2700,红星海红星海五期青屿蓝
开发区,红星海,红星海五期青屿蓝,2室1厅,90,2600,红星海红星海五期青屿蓝
开发区,红星海,红星海三期视界,2室1厅,109,4300,红星海红星海三期视界
开发区,红星海,红星海三期视界,2室1厅,109,3800,红星海红星海三期视界
开发区,红星海,红星海一期艺墅,2室2厅,101,3500,红星海红星海一期艺墅
开发区,红星海,红星海一期艺墅,3室2厅,143,7100,红星海红星海一期艺墅
开发区,红星海,红星海三期视界,3室1厅,109,4700,红星海红星海三期视界
开发区,红星海,红星海一期艺墅,2室1厅,101,13000,红星海红星海一期艺墅
开发区,红星海,红星海四期城市别馆二号,2室1厅,84,2500,红星海红星海四期城市别馆二号
开发区,红星海,整租·红星海四期城市别馆二号,2室1厅,87,3300,红星海整租·红星海四期城市别馆二号
开发区,红星海,红星海三期境界,2室1厅,68,2100,红星海红星海三期境界
开发区,红星海,红星海五期青屿蓝,2室1厅,89,2700,红星海红星海五期青屿蓝
开发区,红星海,红星海一期艺墅,3室1厅,173,10000,红星海红星海一期艺墅
开发区,红星海,红星海二期果岭墅,4室2厅,268,18000,红星海红星海二期果岭墅
开发区,红星海,红星海五期青屿蓝,3室2厅,128,2600,红星海红星海五期青屿蓝
开发区,红星海,红星海五期青屿蓝,2室1厅,128,3750,红星海红星海五期青屿蓝
开发区,红星海,红星海一期城市别馆,3室2厅,138,10000,红星海红星海一期城市别馆
开发区,红星海,红星海一期艺墅,3室2厅,173,8000,红星海红星海一期艺墅
开发区,红星海,整租·红星海五期岚谷,2室2厅,77,2200,红星海整租·红星海五期岚谷
开发区,红星海,红星海二期堡藏,6室2厅,980,170000,红星海红星海二期堡藏
开发区,红星海,红星海珑筑,4室2厅,141,11000,红星海红星海珑筑
开发区,红星海,红星海五期岚谷,2室1厅,88,2700,红星海红星海五期岚谷
开发区,红星海,红星海五期青屿蓝,3室2厅,128,3600,红星海红星海五期青屿蓝
开发区,红星海,红星海五期岚谷,2室1厅,88,2500,红星海红星海五期岚谷
开发区,红星海,红星海五期岚谷,2室2厅,88,2300,红星海红星海五期岚谷
开发区,红星海,红星海三期郡墅,3室2厅,130,25000,红星海红星海三期郡墅
开发区,红星海,红星海五期鼎墅,4室3厅,270,20000,红星海红星海五期鼎墅
开发区,红星海,红星海三期境界,2室1厅,81,3200,红星海红星海三期境界
开发区,红星海,整租·红星海二期果岭墅,4室2厅,235,18000,红星海整租·红星海二期果岭墅
开发区,红星海,红星海五期青屿蓝,3室1厅,128,4000,红星海红星海五期青屿蓝
开发区,红星海,红星海一期原墅,4室3厅,345,30000,红星海红星海一期原墅
开发区,红星海,红星海三期视界,2室2厅,119,5500,红星海红星海三期视界
开发区,红星海,红星海五期青屿蓝,2室1厅,91,3500,红星海红星海五期青屿蓝
开发区,红星海,红星海四期城市别馆二号,1室1厅,56,2000,红星海红星海四期城市别馆二号
开发区,红星海,红星海五期青屿蓝,3室2厅,128,4400,红星海红星海五期青屿蓝
开发区,红星海,红星海一期艺墅,3室2厅,173,9000,红星海红星海一期艺墅
开发区,红星海,红星海一期艺墅,3室2厅,173,6000,红星海红星海一期艺墅
开发区,红星海,红星海二期视界,2室2厅,104,3800,红星海红星海二期视界
开发区,红星海,红星海一期城市别馆,1室1厅,58,2000,红星海红星海一期城市别馆
开发区,红星海,红星海三期视界,4室2厅,203,12000,红星海红星海三期视界
开发区,红星海,红星海五期青屿蓝,3室1厅,128,3800,红星海红星海五期青屿蓝
开发区,红星海,红星海一期城市别馆,2室1厅,94,3000,红星海红星海一期城市别馆
开发区,红星海,红星海三期视界,3室2厅,131,6800,红星海红星海三期视界
开发区,红星海,红星海一期城市别馆,4室2厅,104,8500,红星海红星海一期城市别馆
开发区,红星海,红星海二期视界,2室1厅,93,3800,红星海红星海二期视界
开发区,红星海,红星海五期青屿蓝,3室2厅,147,1500,红星海红星海五期青屿蓝
开发区,红星海,红星海二期领墅,4室2厅,226,20000,红星海红星海二期领墅
开发区,红星海,红星海三期视界,3室2厅,140,13000,红星海红星海三期视界
开发区,红星海,红星海一期城市别馆,3室1厅,139,11000,红星海红星海一期城市别馆
开发区,红星海,红星海三期郡墅,3室1厅,159,2500,红星海红星海三期郡墅
开发区,红星海,红星海五期青屿蓝,4室3厅,141,8000,红星海红星海五期青屿蓝
开发区,红星海,红星海三期郡墅,3室2厅,157,16000,红星海红星海三期郡墅
开发区,红星海,红星海三期郡墅,3室1厅,159,15000,红星海红星海三期郡墅
开发区,红星海,红星海三期境界,2室2厅,125,4600,红星海红星海三期境界
开发区,红星海,红星海五期海麓,2室2厅,104,5500,红星海红星海五期海麓
开发区,红星海,红星海五期海麓,3室2厅,139,7000,红星海红星海五期海麓
开发区,红星海,红星海五期岚谷,3室2厅,121,4200,红星海红星海五期岚谷
开发区,红星海,红星海一期艺墅,3室1厅,173,12000,红星海红星海一期艺墅
开发区,红星海,红星海五期青屿蓝,3室1厅,154,3000,红星海红星海五期青屿蓝
开发区,红星海,红星海一期城市别馆,3室2厅,138,5500,红星海红星海一期城市别馆
开发区,红星海,红星海三期境界,2室1厅,92,3500,红星海红星海三期境界
开发区,红星海,红星海三期境界,2室1厅,68,2000,红星海红星海三期境界
开发区,红星海,红星海一期原墅,4室2厅,196,28000,红星海红星海一期原墅
开发区,红星海,红星海时光的岸,3室2厅,120,4200,红星海红星海时光的岸
开发区,红星海,红星海一期艺墅,3室2厅,173,12000,红星海红星海一期艺墅
