region,title,street,rooms,area,price,address
中山,二七,整租·运达嘉洲阳光,3室2厅,204,11000,二七整租·运达嘉洲阳光
中山,二七,合租·春和花园,5居室,20,1100,二七合租·春和花园
中山,二七,39中山岳街,2室1厅,82,2200,二七39中山岳街
中山,二七,御景花园,3室2厅,160,7800,二七御景花园
中山,二七,宏都嘉园,3室2厅,132,7200,二七宏都嘉园
中山,二七,合租·鲁迅路（二七商圈）,3居室,25,1250,二七合租·鲁迅路（二七商圈）
中山,二七,合租·北斗街（二七商圈）,4居室,19,950,二七合租·北斗街（二七商圈）
中山,二七,运达嘉洲阳光,3室2厅,205,12500,二七运达嘉洲阳光
中山,二七,清华园(中山),3室2厅,188,8000,二七清华园(中山)
中山,二七,运达嘉洲阳光,1室1厅,54,2800,二七运达嘉洲阳光
中山,二七,清华园(中山),2室2厅,152,6700,二七清华园(中山)
中山,二七,良运花园,2室2厅,122,5300,二七良运花园
中山,二七,春华街,1室1厅,40,1600,二七春华街
中山,二七,都市海景,6室2厅,645,29167,二七都市海景
中山,二七,勤俭街（二七商圈）,3室1厅,90,3300,二七勤俭街（二七商圈）
中山,二七,整租·民寿里,2室1厅,56,1850,二七整租·民寿里
中山,二七,名仕财富中心,1室1厅,95,4500,二七名仕财富中心
中山,二七,整租·勤俭街（二七商圈）,2室1厅,68,2000,二七整租·勤俭街（二七商圈）
中山,二七,都市海景,5室2厅,172,6000,二七都市海景
中山,二七,整租·上方港景,1室0厅,57,2900,二七整租·上方港景
中山,二七,名仕财富中心,1室1厅,92,4500,二七名仕财富中心
中山,二七,合租·北斗街（二七商圈）,4居室,15,900,二七合租·北斗街（二七商圈）
中山,二七,整租·民寿里,1室1厅,45,1600,二七整租·民寿里
中山,二七,整租·东港林苑,2室1厅,65,2800,二七整租·东港林苑
中山,二七,整租·东港林苑,2室1厅,65,2800,二七整租·东港林苑
中山,二七,整租·东港林苑,2室1厅,65,2800,二七整租·东港林苑
中山,二七,四海一家,3室2厅,153,5000,二七四海一家
中山,二七,东港林苑,2室2厅,63,3200,二七东港林苑
中山,二七,运达嘉洲阳光,2室1厅,79,4000,二七运达嘉洲阳光
中山,二七,39中太阳街,2室1厅,55,2600,二七39中太阳街
中山,二七,太阳街（二七广场）,2室1厅,84,3300,二七太阳街（二七广场）
中山,二七,名仕财富中心,1室0厅,72,3100,二七名仕财富中心
中山,二七,名仕财富中心,1室0厅,58,2800,二七名仕财富中心
中山,二七,名仕财富中心,1室0厅,59,4000,二七名仕财富中心
中山,二七,名仕财富中心,1室0厅,58,2800,二七名仕财富中心
中山,二七,名仕财富中心,2室1厅,126,6700,二七名仕财富中心
中山,二七,运达嘉洲阳光,1室1厅,64,3000,二七运达嘉洲阳光
中山,二七,良运花园,1室1厅,125,5300,二七良运花园
中山,二七,四海一家,3室2厅,297,12000,二七四海一家
中山,二七,39中太阳街,2室1厅,55,2500,二七39中太阳街
中山,二七,荣民街（二七商圈）,1室1厅,40,1800,二七荣民街（二七商圈）
中山,二七,裕民街,1室1厅,43,1700,二七裕民街
中山,二七,上方港景,2室1厅,107,6500,二七上方港景
中山,二七,名仕财富中心,1室1厅,72,4500,二七名仕财富中心
中山,二七,丹东街（二七商圈）,2室1厅,50,2400,二七丹东街（二七商圈）
中山,二七,华丽山庄,2室2厅,124,5700,二七华丽山庄
中山,二七,北斗街（二七商圈）,1室1厅,40,1800,二七北斗街（二七商圈）
中山,二七,春华街,1室1厅,78,2500,二七春华街
