region,title,street,rooms,area,price,address
甘井子,华南,动力院景三期汇善园,3室2厅,135,3500,华南动力院景三期汇善园
甘井子,华南,合租·华润置地广场一期,5居室,20,1000,华南合租·华润置地广场一期
甘井子,华南,整租·远洋广场,2室1厅,73,3600,华南整租·远洋广场
甘井子,华南,合租·北府茗苑,5居室,30,1700,华南合租·北府茗苑
甘井子,华南,合租·远洋广场,5居室,18,700,华南合租·远洋广场
甘井子,华南,红星国际广场,2室1厅,87,4500,华南红星国际广场
甘井子,华南,合租·华润置地广场一期,5居室,15,1350,华南合租·华润置地广场一期
甘井子,华南,整租·动力院景一期汇仁南园,3室1厅,115,4000,华南整租·动力院景一期汇仁南园
甘井子,华南,整租·沿海鉴筑,4室2厅,140,7200,华南整租·沿海鉴筑
甘井子,华南,合租·凯旋门一期,5居室,28,1400,华南合租·凯旋门一期
甘井子,华南,合租·凯旋门一期,5居室,20,1300,华南合租·凯旋门一期
甘井子,华南,加州洋房,1室1厅,52,2500,华南加州洋房
甘井子,华南,动力院景二期汇善南园,4室2厅,127,3600,华南动力院景二期汇善南园
甘井子,华南,合租·北府茗苑,5居室,26,1200,华南合租·北府茗苑
甘井子,华南,整租·沿海鉴筑,2室1厅,66,3000,华南整租·沿海鉴筑
甘井子,华南,合租·华润置地广场一期,5居室,19,1350,华南合租·华润置地广场一期
甘井子,华南,合租·华润置地广场一期,5居室,19,1350,华南合租·华润置地广场一期
甘井子,华南,亿合城,2室1厅,73,2800,华南亿合城
甘井子,华南,沿海鉴筑反正LOFT,2室1厅,81,4000,华南沿海鉴筑反正LOFT
甘井子,华南,远洋自然,3室2厅,135,3300,华南远洋自然
甘井子,华南,合租·远洋自然,4居室,20,1300,华南合租·远洋自然
甘井子,华南,红星国际广场,1室0厅,95,4200,华南红星国际广场
甘井子,华南,红星国际广场,3室1厅,118,5000,华南红星国际广场
甘井子,华南,合租·华润置地广场一期,5居室,10,900,华南合租·华润置地广场一期
甘井子,华南,合租·凯旋门一期,5居室,25,1350,华南合租·凯旋门一期
甘井子,华南,合租·北府茗苑,5居室,20,1100,华南合租·北府茗苑
甘井子,华南,合租·北府茗苑,5居室,30,1400,华南合租·北府茗苑
甘井子,华南,远洋广场,2室1厅,73,2800,华南远洋广场
甘井子,华南,整租·沿海鉴筑,2室1厅,68,2800,华南整租·沿海鉴筑
甘井子,华南,整租·远洋广场,2室1厅,80,3500,华南整租·远洋广场
甘井子,华南,合租·北府花园,4居室,18,1300,华南合租·北府花园
甘井子,华南,合租·北府花园,4居室,25,1300,华南合租·北府花园
甘井子,华南,合租·凯旋门一期,5居室,14,900,华南合租·凯旋门一期
甘井子,华南,整租·远洋广场,2室1厅,70,3200,华南整租·远洋广场
甘井子,华南,合租·北府花园,7居室,25,800,华南合租·北府花园
甘井子,华南,远洋广场,2室1厅,63,2700,华南远洋广场
甘井子,华南,远洋荣域,3室1厅,109,3500,华南远洋荣域
甘井子,华南,亿合城,2室1厅,114,6000,华南亿合城
甘井子,华南,红星国际广场,1室0厅,102,4500,华南红星国际广场
甘井子,华南,整租·红星国际广场,1室1厅,87,3600,华南整租·红星国际广场
甘井子,华南,北府花园,2室1厅,98,2800,华南北府花园
甘井子,华南,加州洋房,1室0厅,52,2000,华南加州洋房
甘井子,华南,合租·北府茗苑,5居室,15,650,华南合租·北府茗苑
甘井子,华南,加州洋房,2室2厅,103,3600,华南加州洋房
甘井子,华南,红星国际广场,2室1厅,89,4500,华南红星国际广场
甘井子,华南,远洋广场,2室1厅,63,2700,华南远洋广场
甘井子,华南,合租·华润置地广场一期,5居室,22,1000,华南合租·华润置地广场一期
甘井子,华南,合租·加州洋房,3居室,18,1100,华南合租·加州洋房
甘井子,华南,红星国际广场,2室1厅,100,4400,华南红星国际广场
甘井子,华南,合租·北府花园,3居室,21,1350,华南合租·北府花园
甘井子,华南,合租·北府花园,3居室,13,1250,华南合租·北府花园
甘井子,华南,合租·远洋自然,3居室,20,1050,华南合租·远洋自然
甘井子,华南,远洋自然,2室1厅,78,2900,华南远洋自然
甘井子,华南,加州洋房,3室1厅,54,2800,华南加州洋房
甘井子,华南,合租·凯旋门一期,5居室,22,1350,华南合租·凯旋门一期
甘井子,华南,整租·亿合城,2室1厅,75,3500,华南整租·亿合城
甘井子,华南,亿合城,2室1厅,63,3500,华南亿合城
甘井子,华南,合租·北府茗苑,5居室,30,1700,华南合租·北府茗苑
甘井子,华南,合租·加州洋房,3居室,20,1250,华南合租·加州洋房
甘井子,华南,红星国际广场,1室1厅,55,5000,华南红星国际广场
甘井子,华南,加州洋房,3室2厅,146,4500,华南加州洋房
甘井子,华南,华润置地广场二期,3室1厅,101,4200,华南华润置地广场二期
甘井子,华南,合租·沿海鉴筑反正LOFT,4居室,25,1300,华南合租·沿海鉴筑反正LOFT
甘井子,华南,华润置地广场二期,3室2厅,142,5200,华南华润置地广场二期
甘井子,华南,华润置地广场三期,4室1厅,82,3500,华南华润置地广场三期
甘井子,华南,北府花园,4室1厅,148,1200,华南北府花园
甘井子,华南,远洋荣域,2室1厅,89,3600,华南远洋荣域
甘井子,华南,远洋广场,2室1厅,64,2500,华南远洋广场
甘井子,华南,整租·远洋广场,2室1厅,72,2600,华南整租·远洋广场
甘井子,华南,整租·远洋广场,2室2厅,89,3500,华南整租·远洋广场
甘井子,华南,北府花园,3室2厅,150,4500,华南北府花园
甘井子,华南,合租·北府茗苑,5居室,18,650,华南合租·北府茗苑
甘井子,华南,华润置地广场一期,3室1厅,119,4500,华南华润置地广场一期
甘井子,华南,北府花园,2室1厅,85,3000,华南北府花园
甘井子,华南,华润置地广场三期,3室1厅,102,4200,华南华润置地广场三期
甘井子,华南,动力院景一期汇仁南园,3室2厅,128,3500,华南动力院景一期汇仁南园
甘井子,华南,华润置地广场二期,3室1厅,102,3700,华南华润置地广场二期
甘井子,华南,合租·北府茗苑,4居室,20,700,华南合租·北府茗苑
甘井子,华南,远洋荣域,3室2厅,89,1400,华南远洋荣域
甘井子,华南,远洋荣域,2室2厅,89,3000,华南远洋荣域
甘井子,华南,加州洋房,5室2厅,110,3700,华南加州洋房
甘井子,华南,合租·北府茗苑,5居室,24,1100,华南合租·北府茗苑
甘井子,华南,合租·北府花园,4居室,20,1400,华南合租·北府花园
甘井子,华南,红星国际广场,2室0厅,86,4800,华南红星国际广场
甘井子,华南,整租·加州洋房,3室2厅,114,3800,华南整租·加州洋房
甘井子,华南,合租·北府花园,4居室,15,1150,华南合租·北府花园
甘井子,华南,合租·北府茗苑,3居室,15,650,华南合租·北府茗苑
甘井子,华南,加州洋房,2室2厅,52,3500,华南加州洋房
甘井子,华南,合租·北府花园,3居室,20,1400,华南合租·北府花园
甘井子,华南,加州洋房,2室2厅,90,5200,华南加州洋房
甘井子,华南,合租·北府茗苑,5居室,15,650,华南合租·北府茗苑
甘井子,华南,合租·北府花园,3居室,17,1250,华南合租·北府花园
甘井子,华南,合租·北府花园,3居室,23,1300,华南合租·北府花园
甘井子,华南,合租·北府茗苑,5居室,12,650,华南合租·北府茗苑
甘井子,华南,整租·远洋自然,3室1厅,135,3500,华南整租·远洋自然
甘井子,华南,宏都熙景,2室1厅,62,2800,华南宏都熙景
甘井子,华南,加州洋房,5室1厅,110,8800,华南加州洋房
甘井子,华南,合租·远洋自然,4居室,15,950,华南合租·远洋自然
甘井子,华南,合租·远洋荣域,6居室,20,900,华南合租·远洋荣域
甘井子,华南,合租·北府茗苑,4居室,15,900,华南合租·北府茗苑
甘井子,华南,合租·北府茗苑,5居室,15,750,华南合租·北府茗苑
甘井子,华南,合租·北府茗苑,5居室,17,750,华南合租·北府茗苑
甘井子,华南,合租·远洋荣域,6居室,18,750,华南合租·远洋荣域
甘井子,华南,整租·华润置地广场一期,3室1厅,141,5000,华南整租·华润置地广场一期
甘井子,华南,整租·动力院景三期汇善园,3室2厅,150,3700,华南整租·动力院景三期汇善园
甘井子,华南,加州洋房,3室2厅,127,3800,华南加州洋房
甘井子,华南,整租·红星国际广场,1室1厅,55,2600,华南整租·红星国际广场
甘井子,华南,合租·远洋荣域,6居室,20,650,华南合租·远洋荣域
甘井子,华南,整租·远洋荣域,3室2厅,150,4500,华南整租·远洋荣域
甘井子,华南,合租·北府花园,3居室,18,1150,华南合租·北府花园
甘井子,华南,红星国际广场,2室1厅,88,4500,华南红星国际广场
甘井子,华南,合租·远洋广场,5居室,26,1200,华南合租·远洋广场
甘井子,华南,合租·亿合城,6居室,18,700,华南合租·亿合城
甘井子,华南,北府花园,3室1厅,97,3400,华南北府花园
甘井子,华南,合租·北府花园,3居室,21,1200,华南合租·北府花园
甘井子,华南,远洋广场,3室1厅,115,4200,华南远洋广场
