region,title,street,rooms,area,price,address
高新园区,叠翠,翡翠春城,2室2厅,88,2500,叠翠翡翠春城
高新园区,叠翠,泊林和山,2室2厅,90,2600,叠翠泊林和山
高新园区,叠翠,锦绣暖山,3室2厅,127,3800,叠翠锦绣暖山
高新园区,叠翠,泊林映山,2室1厅,91,2600,叠翠泊林映山
高新园区,叠翠,合租·安邦阳光尚城,2居室,18,1100,叠翠合租·安邦阳光尚城
高新园区,叠翠,泊林和山,2室2厅,88,2200,叠翠泊林和山
高新园区,叠翠,翡翠春城,2室2厅,88,2200,叠翠翡翠春城
高新园区,叠翠,合租·君悦晟景,5居室,20,750,叠翠合租·君悦晟景
高新园区,叠翠,合租·安邦阳光尚城,2居室,18,850,叠翠合租·安邦阳光尚城
高新园区,叠翠,合租·翡翠春城,4居室,13,680,叠翠合租·翡翠春城
高新园区,叠翠,锦绣暖山,2室1厅,91,2700,叠翠锦绣暖山
高新园区,叠翠,合租·锦绣暖山,4居室,15,650,叠翠合租·锦绣暖山
高新园区,叠翠,锦绣暖山,2室1厅,78,2900,叠翠锦绣暖山
高新园区,叠翠,翡翠春城,2室1厅,100,2400,叠翠翡翠春城
高新园区,叠翠,叠翠山庄,2室1厅,64,2000,叠翠叠翠山庄
高新园区,叠翠,合租·翡翠春城,4居室,10,600,叠翠合租·翡翠春城
高新园区,叠翠,合租·安邦阳光尚城,2居室,15,800,叠翠合租·安邦阳光尚城
高新园区,叠翠,泊林和山,2室1厅,70,2200,叠翠泊林和山
高新园区,叠翠,锦绣暖山,1室1厅,58,2000,叠翠锦绣暖山
高新园区,叠翠,整租·泊林映山,2室1厅,60,2250,叠翠整租·泊林映山
高新园区,叠翠,叠翠山庄,2室1厅,65,2200,叠翠叠翠山庄
高新园区,叠翠,泊林阳光A区,1室1厅,59,2200,叠翠泊林阳光A区
高新园区,叠翠,泊林阳光A区,2室1厅,73,2300,叠翠泊林阳光A区
高新园区,叠翠,翡翠春城,2室1厅,97,2600,叠翠翡翠春城
高新园区,叠翠,锦绣暖山,2室2厅,95,2850,叠翠锦绣暖山
高新园区,叠翠,翡翠春城,2室1厅,73,2300,叠翠翡翠春城
高新园区,叠翠,泊林阳光A区,2室1厅,85,2700,叠翠泊林阳光A区
高新园区,叠翠,翡翠春城,2室2厅,89,2700,叠翠翡翠春城
高新园区,叠翠,叠翠骏景,1室1厅,82,2200,叠翠叠翠骏景
高新园区,叠翠,合租·锦绣暖山,4居室,22,750,叠翠合租·锦绣暖山
高新园区,叠翠,安邦阳光润城,2室1厅,86,2500,叠翠安邦阳光润城
高新园区,叠翠,益海美利山,2室2厅,85,2500,叠翠益海美利山
高新园区,叠翠,翡翠春城,1室1厅,56,2000,叠翠翡翠春城
高新园区,叠翠,泊林和山,2室2厅,87,2500,叠翠泊林和山
高新园区,叠翠,泊林和山,2室1厅,86,2400,叠翠泊林和山
高新园区,叠翠,叠锦园,2室1厅,66,1300,叠翠叠锦园
高新园区,叠翠,我爱我家,2室1厅,73,2500,叠翠我爱我家
高新园区,叠翠,泊林阳光A区,2室1厅,76,2200,叠翠泊林阳光A区
高新园区,叠翠,翡翠春城,1室1厅,46,2000,叠翠翡翠春城
高新园区,叠翠,翡翠春城,2室1厅,89,2300,叠翠翡翠春城
高新园区,叠翠,锦绣暖山,2室1厅,95,2550,叠翠锦绣暖山
高新园区,叠翠,翡翠春城,2室1厅,97,2500,叠翠翡翠春城
高新园区,叠翠,君悦晟景,3室2厅,105,3000,叠翠君悦晟景
高新园区,叠翠,翡翠春城,1室1厅,53,2000,叠翠翡翠春城
高新园区,叠翠,翡翠春城,1室1厅,29,1300,叠翠翡翠春城
高新园区,叠翠,泊林和山,2室1厅,71,1900,叠翠泊林和山
高新园区,叠翠,泊林阳光A区,2室1厅,76,2200,叠翠泊林阳光A区
高新园区,叠翠,叠翠山庄,2室1厅,54,1900,叠翠叠翠山庄
高新园区,叠翠,红凌小区,2室1厅,76,1500,叠翠红凌小区
高新园区,叠翠,安邦阳光尚城,2室2厅,70,2200,叠翠安邦阳光尚城
高新园区,叠翠,君悦晟景,2室1厅,87,2400,叠翠君悦晟景
高新园区,叠翠,锦绣暖山,2室1厅,87,3000,叠翠锦绣暖山
高新园区,叠翠,叠锦园,2室2厅,98,2200,叠翠叠锦园
高新园区,叠翠,泊林映山,2室1厅,80,2500,叠翠泊林映山
高新园区,叠翠,泊林阳光A区,2室1厅,73,2000,叠翠泊林阳光A区
高新园区,叠翠,叠锦园,2室1厅,65,1700,叠翠叠锦园
高新园区,叠翠,整租·泊林映山,3室1厅,90,2650,叠翠整租·泊林映山
高新园区,叠翠,连海金源,2室1厅,86,2450,叠翠连海金源
高新园区,叠翠,翡翠春城,1室1厅,46,1700,叠翠翡翠春城
