region,title,street,rooms,area,price,address
金州,南棉,瀛海金洲,2室1厅,80,1800,南棉瀛海金洲
金州,南棉,瀛海金洲,1室1厅,57,1600,南棉瀛海金洲
金州,南棉,金山苑小区,3室2厅,119,3000,南棉金山苑小区
金州,南棉,瀛海金洲,2室1厅,79,1850,南棉瀛海金洲
金州,南棉,金色华庭,1室1厅,38,1100,南棉金色华庭
金州,南棉,金山小区,2室1厅,71,1500,南棉金山小区
金州,南棉,瀛海金洲,1室1厅,52,1600,南棉瀛海金洲
金州,南棉,香山翌景,2室1厅,63,1500,南棉香山翌景
金州,南棉,瀛海金洲,1室1厅,57,1500,南棉瀛海金洲
金州,南棉,金乾公馆,2室1厅,64,1800,南棉金乾公馆
金州,南棉,金色华庭,1室0厅,37,1100,南棉金色华庭
金州,南棉,香山翌景,2室1厅,63,1650,南棉香山翌景
金州,南棉,金乾公馆,2室1厅,85,2400,南棉金乾公馆
金州,南棉,金色华庭,3室2厅,117,2500,南棉金色华庭
金州,南棉,金色华庭,2室1厅,75,1700,南棉金色华庭
金州,南棉,整租·金乾公馆,1室1厅,44,800,南棉整租·金乾公馆
金州,南棉,金色华庭,1室1厅,37,1200,南棉金色华庭
金州,南棉,南山路（金州）,2室1厅,54,1100,南棉南山路（金州）
金州,南棉,金连领地,2室1厅,70,1650,南棉金连领地
金州,南棉,南山路（金州）,2室1厅,55,1200,南棉南山路（金州）
金州,南棉,金山小区,2室2厅,95,2000,南棉金山小区
金州,南棉,金连领地,2室1厅,57,1600,南棉金连领地
金州,南棉,金色华庭,1室0厅,37,1300,南棉金色华庭
金州,南棉,整租·绿苑小区,2室1厅,45,1100,南棉整租·绿苑小区
金州,南棉,香山翌景,2室1厅,61,1250,南棉香山翌景
金州,南棉,金山小区,2室1厅,76,1600,南棉金山小区
金州,南棉,绿苑小区,2室1厅,71,1200,南棉绿苑小区
金州,南棉,环保小区,2室1厅,62,1200,南棉环保小区
金州,南棉,金山苑小区,2室1厅,92,2500,南棉金山苑小区
金州,南棉,金乾公馆,2室1厅,64,1800,南棉金乾公馆
金州,南棉,金山小区,2室1厅,70,1300,南棉金山小区
金州,南棉,香山翌景,1室1厅,60,1200,南棉香山翌景
金州,南棉,南山路（金州）,2室1厅,72,1400,南棉南山路（金州）
金州,南棉,环保小区,2室1厅,53,1000,南棉环保小区
金州,南棉,金山小区,2室1厅,66,1400,南棉金山小区
金州,南棉,南山路（金州）,2室1厅,54,900,南棉南山路（金州）
金州,南棉,南山路（金州）,2室1厅,56,1300,南棉南山路（金州）
金州,南棉,金山小区,2室1厅,95,1500,南棉金山小区
金州,南棉,南山路（金州）,3室1厅,75,1300,南棉南山路（金州）
金州,南棉,南山路（金州）,2室1厅,60,1300,南棉南山路（金州）
金州,南棉,瀛海金洲,3室2厅,100,2100,南棉瀛海金洲
金州,南棉,刘家屯社区,2室1厅,90,1600,南棉刘家屯社区
金州,南棉,金山小区,2室1厅,63,1200,南棉金山小区
金州,南棉,瀛海金洲,2室1厅,79,1700,南棉瀛海金洲
金州,南棉,金山苑小区,2室2厅,93,1400,南棉金山苑小区
金州,南棉,刘家屯社区,2室2厅,88,1600,南棉刘家屯社区
金州,南棉,金山小区,2室1厅,63,1400,南棉金山小区
金州,南棉,瀛海金洲,2室1厅,63,1600,南棉瀛海金洲
金州,南棉,金山小区,2室1厅,68,1100,南棉金山小区
金州,南棉,金山小区,2室1厅,56,1300,南棉金山小区
金州,南棉,南山路（金州）,2室1厅,56,1600,南棉南山路（金州）
金州,南棉,金色华庭,1室0厅,39,1200,南棉金色华庭
金州,南棉,金山小区,1室1厅,57,1600,南棉金山小区
金州,南棉,金山小区,2室1厅,63,1400,南棉金山小区
金州,南棉,瀛海金洲,3室2厅,110,2300,南棉瀛海金洲
金州,南棉,金连领地,2室1厅,57,1600,南棉金连领地
金州,南棉,环保小区,2室1厅,60,1200,南棉环保小区
金州,南棉,环保小区,1室1厅,50,1100,南棉环保小区
金州,南棉,金山小区,2室1厅,71,1300,南棉金山小区
金州,南棉,金乾公馆,2室1厅,89,1500,南棉金乾公馆
金州,大连湾,宇圣明珠,2室1厅,80,2000,大连湾宇圣明珠
金州,大连湾,鹿港小镇,2室1厅,79,1900,大连湾鹿港小镇
金州,大连湾,鹿港小镇,2室1厅,78,2000,大连湾鹿港小镇
金州,大连湾,鹿港小镇,2室2厅,77,2200,大连湾鹿港小镇
金州,大连湾,恒大港湾,3室2厅,96,2400,大连湾恒大港湾
金州,大连湾,恒大港湾,3室1厅,94,2500,大连湾恒大港湾
金州,大连湾,鹿港小镇,2室1厅,72,1800,大连湾鹿港小镇
金州,大连湾,丽湾海景,2室1厅,70,2000,大连湾丽湾海景
金州,大连湾,丽湾海景,2室1厅,58,1650,大连湾丽湾海景
金州,大连湾,整租·恒大港湾,3室1厅,95,2500,大连湾整租·恒大港湾
金州,大连湾,颐泊湾,2室2厅,90,1800,大连湾颐泊湾
金州,大连湾,颐泊湾,2室2厅,85,1800,大连湾颐泊湾
金州,大连湾,丽湾新城,1室1厅,45,1000,大连湾丽湾新城
金州,大连湾,宇圣明珠,2室1厅,73,1800,大连湾宇圣明珠
金州,大连湾,城家,2室1厅,69,1700,大连湾城家
金州,大连湾,城家,2室1厅,60,1300,大连湾城家
金州,大连湾,宇圣明珠,1室0厅,34,1200,大连湾宇圣明珠
金州,大连湾,丽湾海景,2室1厅,71,1600,大连湾丽湾海景
金州,大连湾,恒大港湾,2室1厅,75,1800,大连湾恒大港湾
金州,大连湾,鹿港小镇,2室2厅,71,1800,大连湾鹿港小镇
金州,大连湾,整租·鹿港小镇,2室1厅,77,1700,大连湾整租·鹿港小镇
金州,大连湾,整租·鹿港小镇,2室1厅,54,1500,大连湾整租·鹿港小镇
金州,大连湾,整租·鹿港小镇,2室2厅,72,1800,大连湾整租·鹿港小镇
金州,大连湾,鹿港小镇,2室2厅,77,1000,大连湾鹿港小镇
金州,大连湾,鹿港小镇,2室1厅,75,1200,大连湾鹿港小镇
金州,大连湾,丽湾海景,1室1厅,53,1500,大连湾丽湾海景
金州,桃园,整租·德泰岭秀逸城B区,3室2厅,118,3300,桃园整租·德泰岭秀逸城B区
金州,桃园,整租·德泰岭秀逸城B区,3室1厅,132,1500,桃园整租·德泰岭秀逸城B区
金州,桃园,整租·华邦俪城,1室1厅,41,1300,桃园整租·华邦俪城
金州,桃园,华邦俪城,1室1厅,41,1400,桃园华邦俪城
金州,桃园,德泰岭秀逸城,3室1厅,101,2500,桃园德泰岭秀逸城
金州,桃园,宝林凤凰城,2室2厅,97,2000,桃园宝林凤凰城
金州,桃园,整租·宏城嘉苑,3室2厅,113,1500,桃园整租·宏城嘉苑
金州,桃园,整租·桃园小区,2室1厅,58,1300,桃园整租·桃园小区
金州,桃园,金信陶然居,3室2厅,93,1400,桃园金信陶然居
金州,桃园,恒盛阳光美麓,2室2厅,112,2800,桃园恒盛阳光美麓
金州,桃园,华邦俪城,1室1厅,42,1200,桃园华邦俪城
金州,桃园,华邦俪城,1室1厅,41,1300,桃园华邦俪城
金州,桃园,整租·德泰岭秀逸城,2室1厅,92,2000,桃园整租·德泰岭秀逸城
金州,桃园,鸿玮澜山一期,2室1厅,77,2100,桃园鸿玮澜山一期
金州,桃园,合租·桃园小区,1居室,49,500,桃园合租·桃园小区
金州,桃园,整租·恒盛阳光美麓,3室1厅,97,1900,桃园整租·恒盛阳光美麓
金州,桃园,整租·德泰岭秀逸城,3室1厅,107,2800,桃园整租·德泰岭秀逸城
金州,桃园,整租·金信陶然居,1室1厅,35,1300,桃园整租·金信陶然居
金州,桃园,整租·桃园小区,2室1厅,53,1200,桃园整租·桃园小区
金州,桃园,整租·新起点公寓,1室1厅,25,600,桃园整租·新起点公寓
金州,桃园,整租·华邦俪城,2室1厅,99,1600,桃园整租·华邦俪城
金州,桃园,整租·鸿玮澜山一期,2室2厅,100,3000,桃园整租·鸿玮澜山一期
金州,桃园,整租·德泰岭秀逸城,2室2厅,92,2300,桃园整租·德泰岭秀逸城
金州,桃园,恒盛阳光美麓,2室1厅,60,1600,桃园恒盛阳光美麓
金州,桃园,桃园小区,2室1厅,71,1000,桃园桃园小区
金州,桃园,整租·华邦俪城,2室1厅,80,2000,桃园整租·华邦俪城
金州,桃园,鸿玮澜山二期,3室1厅,90,2500,桃园鸿玮澜山二期
金州,桃园,凤凰山花园,3室2厅,90,2500,桃园凤凰山花园
金州,桃园,整租·恒盛阳光美麓,1室1厅,46,1300,桃园整租·恒盛阳光美麓
金州,桃园,鸿玮澜山一期,2室1厅,103,1800,桃园鸿玮澜山一期
金州,桃园,昌临家园,1室1厅,57,1200,桃园昌临家园
金州,桃园,整租·桃园小区,2室1厅,71,2200,桃园整租·桃园小区
金州,桃园,整租·德泰岭秀逸城B区,3室2厅,139,2500,桃园整租·德泰岭秀逸城B区
金州,桃园,整租·恒盛阳光美麓,3室1厅,106,2700,桃园整租·恒盛阳光美麓
金州,桃园,恒盛阳光美麓,2室1厅,60,1800,桃园恒盛阳光美麓
金州,桃园,宏城嘉苑,2室2厅,96,2000,桃园宏城嘉苑
金州,桃园,桃园小区,2室1厅,64,1600,桃园桃园小区
金州,桃园,整租·金信陶然居,1室1厅,22,1100,桃园整租·金信陶然居
金州,桃园,整租·金信陶然居,1室1厅,35,1100,桃园整租·金信陶然居
金州,桃园,昌临家园,2室1厅,96,700,桃园昌临家园
金州,桃园,华邦俪城,1室1厅,41,1400,桃园华邦俪城
金州,桃园,左岸阳光,2室1厅,90,1950,桃园左岸阳光
金州,桃园,桃园小区,2室1厅,61,1400,桃园桃园小区
金州,桃园,整租·恒盛阳光美麓,1室1厅,59,1600,桃园整租·恒盛阳光美麓
金州,桃园,金信陶然居,2室2厅,79,2200,桃园金信陶然居
金州,桃园,新起点公寓,1室0厅,32,700,桃园新起点公寓
金州,桃园,德泰岭秀逸城B区,1室1厅,59,1700,桃园德泰岭秀逸城B区
金州,桃园,整租·桃园小区,1室1厅,55,1400,桃园整租·桃园小区
金州,桃园,华邦俪城,1室0厅,40,1300,桃园华邦俪城
金州,桃园,桃园小区,2室1厅,61,2500,桃园桃园小区
金州,桃园,宝林凤凰城,2室1厅,86,2400,桃园宝林凤凰城
金州,桃园,恒盛阳光美麓,2室1厅,82,2300,桃园恒盛阳光美麓
金州,桃园,恒盛阳光美麓,2室1厅,77,2200,桃园恒盛阳光美麓
金州,桃园,新起点公寓,2室1厅,39,1000,桃园新起点公寓
金州,桃园,华邦俪城,3室2厅,130,1750,桃园华邦俪城
金州,桃园,左岸阳光,2室1厅,88,1600,桃园左岸阳光
金州,桃园,整租·鸿玮澜山二期,1室1厅,62,1500,桃园整租·鸿玮澜山二期
金州,桃园,整租·桃园小区,2室1厅,73,3400,桃园整租·桃园小区
金州,桃园,八里河小区,2室1厅,75,1100,桃园八里河小区
金州,桃园,左岸阳光,2室2厅,75,1600,桃园左岸阳光
金州,桃园,恒盛阳光美麓,1室1厅,47,1300,桃园恒盛阳光美麓
金州,桃园,金信陶然居,2室1厅,94,2000,桃园金信陶然居
金州,桃园,恒盛阳光美麓,2室1厅,99,2300,桃园恒盛阳光美麓
金州,桃园,桃园小区,2室1厅,88,1200,桃园桃园小区
金州,桃园,昌临家园,1室1厅,58,1600,桃园昌临家园
金州,桃园,恒盛阳光美麓,1室1厅,46,1300,桃园恒盛阳光美麓
金州,桃园,德泰岭秀逸城B区,1室1厅,61,1700,桃园德泰岭秀逸城B区
金州,桃园,左岸阳光,2室1厅,76,1500,桃园左岸阳光
金州,桃园,恒盛阳光美麓,1室1厅,56,1500,桃园恒盛阳光美麓
金州,桃园,华邦俪城,1室1厅,48,1500,桃园华邦俪城
金州,桃园,金信陶然居,1室1厅,35,1200,桃园金信陶然居
金州,桃园,恒盛阳光美麓,1室1厅,46,1400,桃园恒盛阳光美麓
金州,桃园,整租·鸿玮澜山二期,3室1厅,89,2600,桃园整租·鸿玮澜山二期
金州,桃园,鸿玮澜山二期,2室1厅,75,1000,桃园鸿玮澜山二期
金州,桃园,德泰岭秀逸城B区,2室1厅,76,1900,桃园德泰岭秀逸城B区
金州,桃园,整租·达赫山庄,3室1厅,127,3100,桃园整租·达赫山庄
金州,桃园,华邦俪城,2室1厅,68,1800,桃园华邦俪城
金州,桃园,华邦俪城,2室2厅,96,1700,桃园华邦俪城
金州,桃园,整租·恒盛阳光美麓,2室2厅,94,1200,桃园整租·恒盛阳光美麓
金州,桃园,整租·德泰岭秀逸城B区,3室1厅,145,3500,桃园整租·德泰岭秀逸城B区
金州,桃园,左岸阳光,2室1厅,67,1800,桃园左岸阳光
金州,桃园,左岸阳光,2室1厅,67,1800,桃园左岸阳光
金州,桃园,宏城嘉苑,2室2厅,86,1800,桃园宏城嘉苑
金州,桃园,华邦俪城,3室2厅,99,1500,桃园华邦俪城
金州,桃园,华邦俪城,1室1厅,41,1600,桃园华邦俪城
金州,桃园,德泰岭秀逸城B区,3室1厅,132,1650,桃园德泰岭秀逸城B区
金州,桃园,德泰岭秀逸城B区,3室1厅,145,1700,桃园德泰岭秀逸城B区
金州,桃园,德泰岭秀逸城B区,2室1厅,145,1800,桃园德泰岭秀逸城B区
金州,桃园,宏城嘉苑,2室1厅,87,1000,桃园宏城嘉苑
金州,东山,格林小镇,2室1厅,66,1900,东山格林小镇
金州,东山,整租·金科理想城,3室2厅,101,2300,东山整租·金科理想城
金州,东山,岗盛里小区,3室2厅,126,2100,东山岗盛里小区
金州,东山,整租·绿色家园小区,2室2厅,89,2600,东山整租·绿色家园小区
金州,东山,金科理想城,2室2厅,70,2000,东山金科理想城
金州,东山,东山花园,2室2厅,129,2500,东山东山花园
金州,东山,整租·众益家园,4室2厅,107,2750,东山整租·众益家园
金州,东山,名品公寓,1室1厅,38,1400,东山名品公寓
