region,title,street,rooms,area,price,address
沙河口,西安路,合租·北昌平小区,4居室,22,1450,西安路合租·北昌平小区
沙河口,西安路,合租·北昌平小区,3居室,15,1300,西安路合租·北昌平小区
沙河口,西安路,整租·民权小区,2室1厅,80,2900,西安路整租·民权小区
沙河口,西安路,合租·天河100,3居室,15,1300,西安路合租·天河100
沙河口,西安路,合租·北昌平小区,4居室,15,1350,西安路合租·北昌平小区
沙河口,西安路,城品城,2室1厅,82,4000,西安路城品城
沙河口,西安路,整租·北昌平小区,2室1厅,80,2300,西安路整租·北昌平小区
沙河口,西安路,整租·79中恒泰大厦,1室1厅,47,1900,西安路整租·79中恒泰大厦
沙河口,西安路,南昌平小区,3室1厅,95,3500,西安路南昌平小区
沙河口,西安路,兴工街,3室1厅,121,2800,西安路兴工街
沙河口,西安路,整租·黄河路（西安路商圈）,2室1厅,55,2200,西安路整租·黄河路（西安路商圈）
沙河口,西安路,79中恒泰大厦,1室1厅,53,1800,西安路79中恒泰大厦
沙河口,西安路,富鸿国际大厦,2室2厅,132,5000,西安路富鸿国际大厦
沙河口,西安路,合租·北洋小区,4居室,19,1100,西安路合租·北洋小区
沙河口,西安路,北昌平小区,2室1厅,55,2000,西安路北昌平小区
沙河口,西安路,民权小区,2室1厅,89,2400,西安路民权小区
沙河口,西安路,合租·兴工街,4居室,15,750,西安路合租·兴工街
沙河口,西安路,好利高层,2室1厅,56,2400,西安路好利高层
沙河口,西安路,天河100,3室2厅,153,4800,西安路天河100
沙河口,西安路,北洋小区,2室1厅,88,3300,西安路北洋小区
沙河口,西安路,79中民权小区,2室2厅,89,3300,西安路79中民权小区
沙河口,西安路,合租·兴工街,4居室,17,850,西安路合租·兴工街
沙河口,西安路,整租·北昌平小区,2室2厅,100,2200,西安路整租·北昌平小区
沙河口,西安路,北昌平小区,2室1厅,60,2600,西安路北昌平小区
沙河口,西安路,北昌平小区,2室1厅,60,1850,西安路北昌平小区
沙河口,西安路,清泉小区,2室1厅,80,2400,西安路清泉小区
沙河口,西安路,天兴罗斯福,1室0厅,64,3100,西安路天兴罗斯福
沙河口,西安路,合租·民权小区,3居室,18,1050,西安路合租·民权小区
沙河口,西安路,合租·宝发金钻,3居室,20,1200,西安路合租·宝发金钻
沙河口,西安路,北昌平小区,2室2厅,90,3500,西安路北昌平小区
沙河口,西安路,兴工街,2室1厅,46,1500,西安路兴工街
沙河口,西安路,富鸿国际大厦,3室1厅,132,5000,西安路富鸿国际大厦
沙河口,西安路,合租·北昌平小区,5居室,15,800,西安路合租·北昌平小区
沙河口,西安路,尚品天城,2室2厅,92,3800,西安路尚品天城
沙河口,西安路,尚品天城,3室2厅,135,5500,西安路尚品天城
沙河口,西安路,南昌平小区,3室2厅,134,4000,西安路南昌平小区
沙河口,西安路,合租·西安路,西安路商圈0,18,1100,西安路合租·西安路
沙河口,西安路,南昌平小区,2室1厅,55,1800,西安路南昌平小区
沙河口,西安路,79中恒泰大厦,2室2厅,97,3500,西安路79中恒泰大厦
沙河口,西安路,合租·兴工街,3居室,12,750,西安路合租·兴工街
沙河口,西安路,民权小区,3室2厅,109,3600,西安路民权小区
沙河口,西安路,兴工街,2室0厅,58,2500,西安路兴工街
沙河口,西安路,北昌平小区,1室0厅,15,1200,西安路北昌平小区
沙河口,西安路,民权小区,2室2厅,89,2800,西安路民权小区
沙河口,西安路,合租·天河100,3居室,18,800,西安路合租·天河100
沙河口,西安路,合租·南昌平小区,3居室,12,750,西安路合租·南昌平小区
沙河口,西安路,整租·西安路,西安路商圈0,50,1300,西安路整租·西安路
沙河口,西安路,南昌平小区,2室1厅,73,2300,西安路南昌平小区
沙河口,西安路,合租·北昌平小区,4居室,12,1250,西安路合租·北昌平小区
沙河口,西安路,合租·机车商厦,4居室,30,1000,西安路合租·机车商厦
沙河口,西安路,整租·天兴罗斯福,2室1厅,117,5800,西安路整租·天兴罗斯福
沙河口,西安路,合租·北昌平小区,5居室,15,900,西安路合租·北昌平小区
沙河口,西安路,兴工街,3室1厅,74,2500,西安路兴工街
沙河口,西安路,尚品天城,3室2厅,118,5500,西安路尚品天城
沙河口,西安路,城品城,2室1厅,82,4200,西安路城品城
沙河口,西安路,79中民兴花园二期,2室1厅,110,3900,西安路79中民兴花园二期
沙河口,西安路,北昌平小区,1室1厅,40,1700,西安路北昌平小区
沙河口,西安路,北昌平小区,4室0厅,79,1400,西安路北昌平小区
沙河口,西安路,合租·天河100,3居室,20,900,西安路合租·天河100
沙河口,西安路,79中恒泰大厦,1室1厅,54,2400,西安路79中恒泰大厦
沙河口,西安路,福佳新天地,1室0厅,40,2200,西安路福佳新天地
沙河口,西安路,尚品天城,2室2厅,77,3800,西安路尚品天城
沙河口,西安路,合租·尚品天城,3居室,18,1500,西安路合租·尚品天城
沙河口,西安路,北昌平小区,1室1厅,35,1500,西安路北昌平小区
沙河口,西安路,富鸿国际大厦,2室1厅,133,5000,西安路富鸿国际大厦
沙河口,西安路,清泉小区,3室1厅,92,2800,西安路清泉小区
沙河口,西安路,整租·天兴罗斯福,1室1厅,136,5800,西安路整租·天兴罗斯福
沙河口,西安路,北昌平小区,1室1厅,47,1700,西安路北昌平小区
沙河口,西安路,整租·南昌平小区,1室1厅,40,1800,西安路整租·南昌平小区
沙河口,西安路,天兴罗斯福,1室1厅,65,3800,西安路天兴罗斯福
沙河口,西安路,天河公寓,3室1厅,141,6500,西安路天河公寓
沙河口,西安路,中盛家园,4室2厅,186,8000,西安路中盛家园
沙河口,西安路,南昌平小区,2室1厅,48,2000,西安路南昌平小区
沙河口,西安路,79中民兴花园二期,2室2厅,103,5000,西安路79中民兴花园二期
沙河口,西安路,合租·尚品天城,3居室,15,1500,西安路合租·尚品天城
沙河口,西安路,合租·北昌平小区,3居室,15,1150,西安路合租·北昌平小区
沙河口,西安路,好利高层,2室1厅,60,2500,西安路好利高层
沙河口,西安路,福佳新天地,2室1厅,96,5834,西安路福佳新天地
沙河口,西安路,整租·南昌平小区,2室2厅,69,2300,西安路整租·南昌平小区
沙河口,西安路,整租·天兴罗斯福,1室0厅,46,2600,西安路整租·天兴罗斯福
沙河口,西安路,天兴罗斯福,1室1厅,66,3500,西安路天兴罗斯福
沙河口,西安路,整租·天兴罗斯福,2室1厅,117,5500,西安路整租·天兴罗斯福
沙河口,西安路,合租·民权小区,3居室,23,1050,西安路合租·民权小区
沙河口,西安路,整租·天兴罗斯福,1室1厅,68,3300,西安路整租·天兴罗斯福
沙河口,西安路,合租·北昌平小区,3居室,15,1250,西安路合租·北昌平小区
沙河口,西安路,福佳新天地,2室1厅,96,5500,西安路福佳新天地
沙河口,西安路,合租·兴工街,3居室,20,900,西安路合租·兴工街
沙河口,西安路,整租·富鸿国际大厦,2室1厅,132,4600,西安路整租·富鸿国际大厦
沙河口,西安路,整租·天兴罗斯福,2室2厅,106,4900,西安路整租·天兴罗斯福
沙河口,西安路,整租·天兴罗斯福,2室1厅,102,5000,西安路整租·天兴罗斯福
沙河口,西安路,民权小区,2室2厅,72,3500,西安路民权小区
沙河口,西安路,整租·天兴罗斯福,2室2厅,106,5000,西安路整租·天兴罗斯福
沙河口,西安路,整租·天兴罗斯福,1室0厅,46,2500,西安路整租·天兴罗斯福
