region,title,street,rooms,area,price,address
西岗,新起屯,新起点公寓,1室1厅,753,25000,新起屯新起点公寓
西岗,新起屯,新河街,2室1厅,85,2600,新起屯新河街
西岗,新起屯,新月街,2室1厅,59,1800,新起屯新月街
西岗,新起屯,新秀街（新起屯商圈）,6室3厅,257,4500,新起屯新秀街（新起屯商圈）
西岗,新起屯,新林东巷,1室1厅,40,1200,新起屯新林东巷
西岗,新起屯,新田巷,1室1厅,34,1500,新起屯新田巷
西岗,新起屯,新泉巷,2室1厅,80,1900,新起屯新泉巷
西岗,新起屯,新船巷,2室1厅,49,1850,新起屯新船巷
西岗,新起屯,整租·新河街,2室1厅,57,1800,新起屯整租·新河街
西岗,新起屯,新林巷,1室1厅,35,1100,新起屯新林巷
西岗,新起屯,新河街,3室1厅,112,2500,新起屯新河街
西岗,新起屯,新昌街,2室1厅,46,1300,新起屯新昌街
西岗,新起屯,新泉巷,2室1厅,70,1650,新起屯新泉巷
西岗,新起屯,叠彩桃源,2室1厅,100,3600,新起屯叠彩桃源
西岗,新起屯,新昌街,3室1厅,87,2100,新起屯新昌街
西岗,新起屯,长春路（新起屯商圈）,1室1厅,39,1350,新起屯长春路（新起屯商圈）
西岗,新起屯,整租·新泉巷,2室1厅,48,1500,新起屯整租·新泉巷
西岗,新起屯,新林巷,2室0厅,48,1300,新起屯新林巷
西岗,新起屯,新起点公寓,1室0厅,46,1800,新起屯新起点公寓
西岗,新起屯,新起点公寓,1室0厅,35,1500,新起屯新起点公寓
西岗,新起屯,新起点公寓,1室1厅,38,1500,新起屯新起点公寓
西岗,新起屯,新起点公寓,1室0厅,63,2100,新起屯新起点公寓
西岗,新起屯,新源巷,2室0厅,47,1300,新起屯新源巷
西岗,新起屯,新林巷,1室1厅,32,1300,新起屯新林巷
西岗,新起屯,新日街,2室1厅,51,1800,新起屯新日街
西岗,新起屯,新河街,2室1厅,58,2000,新起屯新河街
西岗,新起屯,新林巷,1室1厅,47,1200,新起屯新林巷
西岗,新起屯,隆泉华庭,3室3厅,186,9500,新起屯隆泉华庭
西岗,新起屯,新泉巷,3室1厅,98,1700,新起屯新泉巷
西岗,新起屯,新林巷,2室1厅,77,1400,新起屯新林巷
西岗,新起屯,新林巷,2室1厅,60,1700,新起屯新林巷
西岗,新起屯,长春路（新起屯商圈）,2室1厅,52,1700,新起屯长春路（新起屯商圈）
西岗,新起屯,新泉巷,2室1厅,52,1550,新起屯新泉巷
西岗,新起屯,长春路（新起屯商圈）,2室1厅,73,2200,新起屯长春路（新起屯商圈）
西岗,新起屯,新林巷,1室1厅,40,1100,新起屯新林巷
西岗,新起屯,新月街,2室1厅,51,1650,新起屯新月街
西岗,新起屯,长春路（新起屯商圈）,1室1厅,39,1200,新起屯长春路（新起屯商圈）
西岗,新起屯,新起点公寓,1室1厅,35,1400,新起屯新起点公寓
西岗,新起屯,新泉巷,2室1厅,67,1700,新起屯新泉巷
西岗,新起屯,新林巷,3室1厅,83,1900,新起屯新林巷
西岗,新起屯,新昌街,1室1厅,54,1200,新起屯新昌街
西岗,新起屯,新船巷,3室1厅,60,1400,新起屯新船巷
西岗,新起屯,新起点公寓,1室1厅,63,2300,新起屯新起点公寓
西岗,新起屯,新昌街,1室1厅,50,1400,新起屯新昌街
西岗,新起屯,半岛故乡,2室2厅,89,3200,新起屯半岛故乡
西岗,新起屯,长春路（新起屯商圈）,2室1厅,70,1800,新起屯长春路（新起屯商圈）
西岗,新起屯,新日街,2室1厅,55,1700,新起屯新日街
西岗,新起屯,新船巷,3室1厅,63,1600,新起屯新船巷
西岗,新起屯,新起点公寓,1室1厅,31,1500,新起屯新起点公寓
西岗,新起屯,新月街,1室1厅,41,1250,新起屯新月街
西岗,新起屯,新泉巷,2室1厅,80,2000,新起屯新泉巷
西岗,新起屯,新船巷,1室1厅,38,1200,新起屯新船巷
西岗,新起屯,整租·新林巷,2室1厅,70,1500,新起屯整租·新林巷
西岗,新起屯,新泉巷,2室1厅,82,2500,新起屯新泉巷
西岗,新起屯,新昌街,2室1厅,63,1500,新起屯新昌街
西岗,新起屯,整租·新泉巷,2室1厅,82,2000,新起屯整租·新泉巷
西岗,新起屯,新船巷,1室1厅,42,1300,新起屯新船巷
西岗,新起屯,新月街,2室1厅,58,1700,新起屯新月街
西岗,新起屯,新昌街,1室1厅,38,1100,新起屯新昌街
西岗,新起屯,新船巷,2室1厅,68,1600,新起屯新船巷
西岗,新起屯,新月街,2室1厅,50,1400,新起屯新月街
西岗,新起屯,整租·新昌街,2室1厅,64,1400,新起屯整租·新昌街
西岗,新起屯,新船巷,2室1厅,54,1620,新起屯新船巷
西岗,新起屯,长春路（新起屯商圈）,1室1厅,45,1100,新起屯长春路（新起屯商圈）
西岗,新起屯,新昌街,1室1厅,37,800,新起屯新昌街
西岗,新起屯,新河街,2室1厅,92,1800,新起屯新河街
西岗,新起屯,整租·新水巷,1室1厅,43,1350,新起屯整租·新水巷
西岗,新起屯,新源巷,2室1厅,55,1900,新起屯新源巷
西岗,新起屯,新泉巷,2室1厅,67,1500,新起屯新泉巷
西岗,新起屯,新泉巷,2室1厅,81,1800,新起屯新泉巷
西岗,新起屯,新丽街,2室1厅,60,1600,新起屯新丽街
西岗,新起屯,新林东巷,2室1厅,68,1600,新起屯新林东巷
西岗,新起屯,新船巷,2室1厅,54,1200,新起屯新船巷
西岗,新起屯,新船巷,1室1厅,48,1600,新起屯新船巷
西岗,新起屯,新昌街,1室1厅,39,1450,新起屯新昌街
西岗,新起屯,新林巷,1室1厅,60,950,新起屯新林巷
西岗,新起屯,新丽街,2室1厅,57,2000,新起屯新丽街
西岗,新起屯,新月街,2室1厅,65,1400,新起屯新月街
西岗,新起屯,新林巷,1室1厅,34,1400,新起屯新林巷
西岗,新起屯,新泉巷,2室1厅,82,1700,新起屯新泉巷
西岗,新起屯,新丽街,1室1厅,70,1300,新起屯新丽街
西岗,新起屯,新林巷,2室0厅,46,1600,新起屯新林巷
西岗,新起屯,新丽街,2室1厅,64,1700,新起屯新丽街
西岗,新起屯,新水巷,2室1厅,54,2000,新起屯新水巷
西岗,新起屯,新昌街,2室1厅,51,1700,新起屯新昌街
西岗,新起屯,半岛故乡,2室1厅,69,2800,新起屯半岛故乡
西岗,新起屯,新日街,1室1厅,35,1300,新起屯新日街
西岗,新起屯,新水巷,2室0厅,40,2200,新起屯新水巷
西岗,新起屯,新丽街,2室1厅,62,1600,新起屯新丽街
西岗,新起屯,新河街,3室1厅,86,3000,新起屯新河街
西岗,新起屯,新起花园,3室1厅,147,3500,新起屯新起花园
西岗,新起屯,新泉巷,2室1厅,53,1500,新起屯新泉巷
西岗,新起屯,新船巷,2室1厅,53,1800,新起屯新船巷
西岗,新起屯,新源巷,2室1厅,62,1400,新起屯新源巷
西岗,新起屯,整租·新林巷,1室0厅,37,900,新起屯整租·新林巷
西岗,新起屯,新泉巷,1室1厅,40,1100,新起屯新泉巷
西岗,新起屯,新泉巷,2室1厅,67,1400,新起屯新泉巷
西岗,新起屯,新昌街,1室1厅,37,1300,新起屯新昌街
西岗,新起屯,新源巷,2室0厅,42,1200,新起屯新源巷
西岗,新起屯,新船巷,2室1厅,65,1500,新起屯新船巷
西岗,新起屯,新源巷,2室0厅,45,1200,新起屯新源巷
西岗,新起屯,新丽街,1室1厅,46,1200,新起屯新丽街
西岗,新起屯,新河街,3室1厅,72,1800,新起屯新河街
西岗,新起屯,新日街,2室1厅,89,1800,新起屯新日街
西岗,新起屯,新船巷,2室1厅,51,1500,新起屯新船巷
西岗,新起屯,新船巷,1室1厅,48,1300,新起屯新船巷
西岗,新起屯,半岛故乡,3室2厅,117,3800,新起屯半岛故乡
西岗,新起屯,新泉巷,2室1厅,100,2500,新起屯新泉巷
西岗,新起屯,新船巷,1室1厅,36,1350,新起屯新船巷
西岗,新起屯,新船巷,2室1厅,57,1300,新起屯新船巷
