20190522,金州,金州其他,世茂御龙海湾,5室2厅,300平米,5500
20190522,金州,金州其他,世茂御龙海湾,1室1厅,60平米,1000
20190522,金州,金州其他,世茂御龙海湾,1室1厅,50平米,1400
20190522,金州,金州其他,世茂御龙海湾,1室1厅,50平米,1400
20190522,金州,金州其他,世茂御龙海湾,4室1厅,200平米,4600
20190522,金州,金州其他,世茂御龙海湾,1室1厅,59平米,1200
20190522,金州,金州其他,世茂御龙海湾,1室1厅,59平米,1200
20190522,金州,金州其他,世茂御龙海湾,3室1厅,91平米,2800
20190522,金州,金州其他,世茂御龙海湾,1室1厅,59平米,1300
20190522,金州,金州其他,世茂御龙海湾,2室2厅,143平米,2300
20190522,金州,金州其他,九苑小区,2室1厅,53平米,950
20190522,金州,金州其他,世茂御龙海湾,1室1厅,59平米,1700
20190522,金州,金州其他,整租·世茂御龙海湾,4室2厅,200平米,2600
20190522,金州,金州其他,整租·世茂御龙海湾,1室1厅,55平米,1300
20190522,金州,金州其他,世茂御龙海湾,1室1厅,59平米,1200
20190522,金州,金州其他,世茂御龙海湾,1室1厅,58平米,1200
20190522,金州,金州其他,世茂御龙海湾,1室1厅,58平米,1200
20190522,金州,金州其他,世茂御龙海湾,1室1厅,59平米,1300
20190522,金州,金州其他,世茂御龙海湾,1室1厅,50平米,2800
20190522,金州,金州其他,世茂御龙海湾,1室1厅,50平米,1400
20190522,金州,金州其他,世茂御龙海湾,1室1厅,50平米,2800
20190522,金州,金州其他,世茂御龙海湾,1室1厅,50平米,1800
20190522,金州,金州其他,世茂御龙海湾,1室1厅,50平米,1400
20190522,金州,金州其他,世茂御龙海湾,1室1厅,50平米,1800
20190522,金州,金州其他,世茂御龙海湾,2室2厅,106平米,3000
20190522,金州,金州其他,世茂御龙海湾,1室1厅,50平米,1400
20190522,金州,金州其他,世茂御龙海湾,1室1厅,59平米,1200
20190522,金州,金州其他,世茂御龙海湾,1室1厅,58平米,1200
20190522,金州,金州其他,世茂御龙海湾,1室1厅,58平米,1200
20190522,金州,金州其他,世茂御龙海湾,1室1厅,58平米,1200
20190522,金州,金州其他,世茂御龙海湾,1室1厅,58平米,1200
20190522,金州,金州其他,世茂御龙海湾,1室1厅,55平米,1300
20190522,金州,金州其他,世茂御龙海湾,1室1厅,58平米,1500
20190522,金州,金州其他,九苑小区,2室1厅,63平米,1000
